김진원,백만송이 장미,kbs1,2003-10-06,33.2,서울 1945,kbs1,2006-01-07,17.9,행복한 여자,kbs2,2007-01-06,32.5,강적들,kbs2,2008-04-14,9.4,로맨스 타운,kbs2,2011-05-11,14.1,세상 어디에도 없는 착한남자,kbs2,2012-09-12,18.3,연애를 기대해,kbs2,2013-09-11,3.2,참 좋은 시절,kbs2,2014-02-22,30.3,내일도 칸타빌레,kbs2,2014-10-13,8.5,너를 기억해,kbs2,2015-06-22,5.3,더 패키지,jtbc,2017-10-13,2.4,그냥 사랑하는 사이,jtbc,2017-12-11,2.4,나의 나라,jtbc,2019-10-04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김철규,거침없는 사랑,kbs2,2002-05-20,,여름향기,kbs2,2003-07-07,,꽃보다 아름다워,kbs2,2004-01-01,,오! 필승 봉순영,kbs2,2004-09-13,,황진이,kbs2,2006-10-11,27.1,대물,sbs,2010-10-06,28.3,파라다이스 목장,sbs,2011-01-24,10.3,우와한 녀,tvn,2013-04-18,0.6,응급남녀,tvn,2014-01-24,5.1,아름다운 나의 신부,ocn,2015-06-20,1.3,공항 가는 길,kbs2,2016-09-21,9.3,시카고 타자기,tvn,2017-04-07,2.8,마더,tvn,2018-01-24,5,악의 꽃,tvn,2020-07-29,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김태훈,아테나 : 전쟁의 여신,sbs,2010-12-13,22.8,아이리스2,kbs2,2013-02-13,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김평중,눈꽃,kbs2,2000-11-13,,두번째 프러포즈,kbs2,2004-09-08,,위대한 유산,kbs2,2006-05-03,8.9,굿바이 마눌,채널A,2012-05-07,0.7,리셋,ocn,2014-08-24,1.3,울지 않는 새,tvn,2015-05-04,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김형석,알게 될거야,kbs2,2004-06-06,,슬픔이여 안녕,kbs2,2005-06-11,30.4,연애결혼,kbs2,2008-08-25,8.8,2009 전설의 고향,kbs2,2009-08-10,6.4,넝쿨째 굴러온 당신,kbs2,2012-02-25,45.3,오 마이 비너스,kbs2,2015-11-16,9.9,황금빛 내 인생,kbs2,2017-09-02,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김형일,제국의 아침,kbs1,2002-03-02,31,구미호 외전,kbs2,2004-07-19,19.5,꽃보다 남자,kbs2,2009-01-05,32.9,솔약국집 아들들,kbs2,2009-04-11,44.2,공부의 신,kbs2,2010-01-04,25.1,전우,kbs1,2010-06-19,17.4,프레지던트,kbs2,2010-12-15,10,기막힌 유산,kbs1,2020-04-20,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나수지,영혼수선공,kbs2,2020-05-06,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노상훈,TV소설 새엄마,kbs1,2001-11-05,,천국의 아이들,kbs2,2002-09-09,,보디가드,kbs2,2003-07-05,,낭랑 18세,kbs2,2004-01-19,,서울 1945,kbs1,2006-01-07,17.9,하늘만큼 땅만큼,kbs1,2007-01-15,35.9,2009 전설의 고향,kbs2,2009-08-10,6.4,공부의 신,kbs2,2010-01-04,25.1,오작교 형제들,kbs2,2011-08-06,36.3,직장의 신,kbs2,2013-04-01,14.6,너를 기억해,kbs2,2015-06-22,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라준모,최고의 한방,kbs2,2017-06-02,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모완일,금쪽같은 내새끼,kbs1,2004-06-07,,부활,kbs2,2005-06-01,25,웃어라 동해야,kbs1,2010-10-04,43.9,드림하이 2,kbs2,2012-01-30,10.5,뷰티풀 마인드,kbs2,2016-06-20,4.7,미스티,jtbc,2018-02-02,8.5,부부의 세계,jtbc,2020-03-27,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문보현,살다보면,kbs1,1998-03-16,,광끼,kbs2,1999-05-04,,인생은 아름다워,kbs2,2001-05-14,,사랑은 이런거야,kbs1,2001-10-29,,백만송이 장미,kbs1,2003-10-06,33.2,슬픔이여 안녕,kbs2,2005-06-11,30.4,하늘만큼 땅만큼,kbs1,2007-01-15,35.9,싱글파파는 열애중,kbs2,2008-02-18,5.9,집으로 가는 길,kbs1,2009-01-12,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문준하,간서치열전,kbs2,2014-10-13,2.7,라디오 로맨스,kbs2,2018-01-29,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박기호,별난여자 별난남자,kbs1,2005-09-23,34.3,공주가 돌아왔다,kbs2,2009-09-14,9.2,거상 김만덕,kbs1,2010-03-06,17,도망자 Plan.B,kbs2,2010-09-29,20.7,두근두근 달콤,kbs2,2011-05-02,11.8,넝쿨째 굴러온 당신,kbs2,2012-02-25,45.3,광고천재 이태백,kbs2,2013-02-04,6.3,안단테,kbs1,2017-09-24,2.8,미워도 사랑해,kbs1,2017-11-13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박만영,장미울타리,kbs2,2003-06-02,,백만송이 장미,kbs1,2003-10-06,33.2,포도밭 그 사나이,kbs2,2006-07-24,14.1,최강칠우,kbs2,2008-06-17,14.7,결혼해주세요,kbs2,2010-06-19,34.8,달콤한 비밀,kbs2,2014-11-11,21.1,별난 며느리,kbs2,2015-08-17,6,맨홀:이상한 나라의 필,kbs2,2017-08-09,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박진석,공주가 돌아왔다,kbs2,2009-09-14,9.2,추노,kbs2,2010-01-06,34,전우,kbs1,2010-06-19,17.4,광개토태왕,kbs1,2011-06-04,20.9,해운대 연인들,kbs2,2012-08-06,12.1,전우치,kbs2,2012-11-21,15.2,칼과 꽃,kbs2,2013-07-03,6.7,간서치열전,kbs2,2014-10-13,2.7,맨몸의 소방관,kbs2,2017-01-12,5.2,학교 2017,kbs2,2017-07-17,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박찬홍,학교2,kbs2,1999-05-08,,해 뜨고 달 뜨고,kbs1,1999-10-18,,비단향꽃무,kbs2,2001-03-05,,저 푸른 초원 위에,kbs2,2003-01-04,32.8,부활,kbs2,2005-06-01,25,마왕,kbs2,2007-03-21,10.1,발효가족,jtbc,2011-12-07,1.6,상어,kbs2,2013-05-27,10.7,기억,tvn,2016-03-18,3.8,아름다운 세상,jtbc,2019-04-05,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박현석,집으로 가는 길,kbs1,2009-01-12,30.9,천하무적 이평강,kbs2,2009-11-09,9.4,공주의 남자,kbs2,2011-07-20,24.9,스파이 명월,kbs2,2015-01-09,8.5,함부로 애틋하게,kbs2,2016-07-06,12.9,개인주의자 지영씨,kbs2,2017-05-08,4.8,땐뽀걸즈,kbs2,2018-12-03,3.5,비밀의 숲2,tvn,2020-08-15,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
배경수,소문난 칠공주,kbs2,2006-04-01,44.4,태양의 여자,kbs2,2008-05-28,26.9,난폭한 로맨스,kbs2,2012-01-04,7.1,태양은 가득히,kbs2,2014-02-17,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백상훈,비밀,kbs2,2013-09-25,18.9,후아유 - 학교 2015,kbs2,2015-04-27,8.2,태양의 후예,kbs2,2016-02-24,38.8,구르미 그린 달빛,kbs2,2016-08-22,23.3,더 킹 : 영원의 군주,sbs,2020-04-17,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서수민,프로듀사,kbs2,2015-05-15,17.7,마음의 소리,kbs2,2016-11-07,5.7,최고의 한방,kbs2,2017-06-02,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서주완,하이 스쿨 : 러브온,kbs2,2014-07-11,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성준해,최강! 울엄마,kbs2,2007-03-11,7.3,하이스쿨 : 러브온,kbs2,2014-07-11,3.7,7일의 왕비,kbs2,2017-05-31,7.7,안단테,kbs1,2017-09-24,2.8,끝까지 사랑,kbs2,2018-07-23,16.4,여름아 부탁해,kbs1,2019-04-29,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송민엽,닥터 프리즈너,kbs2,2019-03-20,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송현욱,그 여자의 선택,kbs2,2006-05-01,15.8,TV소설 청춘예찬,kbs1,2009-01-05,11.8,열혈장사꾼,kbs2,2009-10-10,12.5,전우치,kbs1,2010-06-19,17.4,브레인,kbs2,2011-11-14,17.9,해운대 연인들,kbs2,2012-08-06,12.1,연애 말고 결혼,tvn,2014-07-04,3.3,슈퍼대디 열,tvn,2015-03-13,1.9,또 오해영,tvn,2016-05-02,10,내성적인 보스,tvn,2017-01-16,3.2,뷰티 인사이드,jtbc,2018-10-01,5.3,우아한 친구들,jtbc,2020-07-10,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신용휘,예쁜 남자,kbs2,2013-11-20,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안준용,감격시대 : 투신의 탄생,kbs2,2014-01-15,12.6,오 마이 금비,kbs2,2016-11-16,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양윤호,아이리스,kbs2,2009-10-14,35.5,크리미널마인드,tvn,2017-07-26,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오상원,오! 필승 봉순영,kbs2,2004-09-13,,슬픈연가,mbc,2005-01-05,19.5,포세이돈,kbs2,2011-09-19,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오종록,비련초,sbs,1992-08-17,,사랑은 내게 모든 것을 가지라 한다,sbs,1993-05-10,,결혼,sbs,1993-10-25,,사랑은 없다,sbs,1994-08-24,,째즈,sbs,1995-09-06,,연어가 돌아올 때,sbs,1996-11-11,,내 마음을 뺏어봐,sbs,1998-03-25,,해피투게더,sbs,1999-06-16,,줄리엣의 남자,sbs,2000-09-14,,피아노,sbs,2001-11-21,,사랑한다 말해줘,mbc,2004-02-25,,건빵선생과 별사탕,sbs,2005-04-13,,"90일, 사랑할 시간",mbc,2006-11-15,8.6,워킹맘,sbs,2008-07-30,18.2,스타일,sbs,2009-08-01,21.1,대물,sbs,2010-10-06,28.3,일년에 열두남자,tvn,2012-02-15,,최고의 결혼,TV조선,2014-09-27,1.8,포레스트,kbs2,2020-01-29,7.4,,,,,,,,
유관모,퍼퓸,kbs2,2019-06-03,7.2,99억의 여자,kbs2,2019-12-04,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유영은,추리의 여왕,kbs2,2017-04-05,11.6,맨홀:이상한 나라의 필,kbs2,2017-08-09,3.1,추리의 여왕 시즌2,kbs2,2018-02-28,7.8,계약우정,kbs2,2020-04-06,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유종선,천명,kbs2,2013-04-24,9.9,미래의 선택,kbs2,2013-10-14,9.7,천상여자,kbs2,2014-01-06,21.1,태양의 후예,kbs2,2016-02-24,38.8,김비서가 왜 그럴까,tvn,2018-06-06,8.7,"60일, 지정생존자",tvn,2019-07-01,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유철용,화이트 크리스마스,sbs,1997-12-17,,미우나 고우나,sbs,1998-10-19,,달콤한 신부,sbs,1999-10-17,,올인,sbs,2003-01-15,47.7,폭풍속으로,sbs,2004-03-13,25.4,슬픈연가,mbc,2005-01-05,18,히트,mbc,2007-03-19,18.5,태양을 삼켜라,sbs,2009-07-08,18.5,포세이돈,kbs2,2011-09-19,8.9,트라이앵글,mbc,2014-05-05,10.5,사이코지만 괜찮아,tvn,2020-06-20,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유현기,서울 1945,kbs1,2006-01-07,17.9,산너머 남촌에는 1,kbs1,2007-10-24,16.5,공부의 신,kbs2,2010-01-04,25.1,브레인,kbs2,2011-11-14,17.9,내 딸 서영이,kbs2,2012-09-15,47.6,착하지 않은 여자들,kbs2,2015-02-25,13.7,최고의 이혼,kbs2,2018-10-08,4.5,영혼수선공,kbs2,2020-05-06,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유호진,최고의 한방,kbs2,2017-06-02,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤석호,느낌,kbs2,1994-07-20,,사랑의 인사,kbs2,1994-11-01,,컬러,kbs2,1996-05-01,,프로포즈,kbs2,1997-06-09,,웨딩드레스,kbs2,1997-12-06,,순수,kbs2,1998-08-17,,광끼,kbs2,1999-05-04,,초대,kbs2,1999-09-20,,가을동화,kbs2,2000-09-18,42.3,겨울연가,kbs2,2002-01-14,28.8,여름향기,kbs2,2003-07-07,,봄의 왈츠,kbs2,2006-03-06,12.5,사랑비,kbs2,2012-03-26,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤성식,대조영,kbs1,2006-09-16,36.8,연애결혼,kbs2,2008-08-25,8.8,남자이야기,kbs2,2009-04-06,9.6,강력반,kbs2,2011-03-07,8.7,각시탈,kbs2,2012-05-30,22.9,최고다 이순신,kbs2,2013-03-09,30.8,왕의 얼굴,kbs2,2014-11-19,9.1,화랑,kbs2,2016-12-19,13.1,바벨,TV조선,2019-01-27,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤종호,너도 인간이니,kbs2,2018-06-04,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이건준,러빙 유,kbs2,2002-07-29,,러브홀릭,kbs2,2005-05-02,9.2,황금사과,kbs2,2005-11-16,14.3,난 네게 반했어,kbs2,2008-04-21,12.1,구미호 : 여우누이뎐,kbs2,2010-07-05,13.1,"부탁해요, 엄마",kbs2,2015-08-15,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이나정,당신 뿐이야,kbs1,2011-11-07,24.8,세상 어디에도 없는 착한남자,kbs2,2012-09-12,18.3,오 마이 비너스,kbs2,2015-11-16,9.9,"쌈, 마이웨이",kbs2,2017-05-22,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이덕건,사라비아 공화국,kbs2,1994-03-30,,가면 속의 천사,kbs2,1995-07-05,,폭풍속으로,kbs2,1997-03-03,,우리는 길 잃은 작은 새를 보았다,kbs2,1999-04-19,,색소폰과 찹쌀떡,kbs2,2002-06-03,,아름다운 유호,kbs2,2004-04-19,,별난여자 별난남자,kbs1,2005-09-23,34.3,미우나 고우나,kbs1,2007-09-03,44.2,돌아온 뚝배기,kbs2,2008-06-02,13.2,바람불어 좋은 날,kbs1,2010-02-01,29.3,TV소설 사랑아 사랑아,kbs2,2012-05-07,17.4,사랑은 노래를 타고,kbs1,2013-11-04,31.5,별난 며느리,kbs2,2015-08-17,6,별난 가족,kbs1,2016-05-02,26,TV소설 파도야 파도야,kbs2,2018-02-12,10.4,,,,,,,,,,,,,,,,,,,,,,,,
