강경훈
강대선
강병택,제41회 한국방송대상 프로듀서상,2014
강봉규,한국방송대상 예능버라이어티TV부문 작품상 (슈퍼맨이 돌아왔다),2015,KBS 연예대상 최고의 프로그램상,2014,여성가족부장관 표창,2014,휴스턴 국제영화제 엔터테인먼트 부문 은상,2014
강신효
강영선
강일수,한국방송프로듀서연합회 드라마부문 작품상,2005,제33회 국제에미상 드라마 시리즈 부문 2차심사 최우수상,2005,해양수산부 해양홍보 공로상,2005
강철우,일본 갸오 어워즈 2017 드라마부문 1위 (1%의 어떤 것),2018,케이블방송대상 뉴미디어부문 대상 (1%의 어떤 것),2017,제15회 부산단편영화제 작품상 (피라미드 올라가기),1998
강효진,제30회 서울독립영화제 YES24상,2004
고동선,제46회 백상예술대상 TV부문 연출상,2010,방송영상그랑프리 창작상 부문 문화부장관상,2010,ABU상 시상식 특별상,2002
고영탁,제58회 이탈리아상 시상식 TV드라마부문 대상,2006,제1회 서울 드라마 어워즈 특별상,2006
고재현
고찬수
고태경
고흥식
곽경택,제55회 백상예술대상 영화부문 시나리오상,2019,제39회 청룡영화상 각본상,2018,제24회 부일영화상 최우수 감독상,2015,제27회 하와이국제영화제 감독상,2007,제9회 이천 춘사대상영화제 감독상,2001,제9회 이천 춘사대상영화제 춘사대상,2001,오늘의 젊은 예술가상,2001,제22회 청룡영화상 한국영화 최다관객상,2001,제2회 서울 단편 영화제 우수상,1995,클레르 몽페랑 국제 영화제 공식 경쟁작,1995
곽기원
곽영범,방송협회 방송대상 최우수작품상,1992,한국일보 백상예술대상 연출상,1992,한국일보 백상예술대상 작품상,1978
곽정환,제23회 한국PD대상 TV부문 작품상,2011,대한민국 콘텐츠 어워드 드라마 부분 문화체육관광부장관표창,2010,제5회 서울드라마어워즈 미니시리즈 부문 최우수상,2010,제5회 서울드라마어워즈 한류특별상 연출상,2010,제37회 한국방송대상 대상,2010,제37회 한국방송대상 시상식 TV 연출상,2010
구혜선,제13회 대한민국 사회공헌대상 서울시장상,2018,제2회 행복나눔인 보건복지부 장관상,2013,제6회 서울노인영화제 청년감독상,2013,제1회 대한민국 실천대상 문화예술부문,2012,제14회 대한민국 디자인대상 디자인부문 지식경제부장관상,2012,제12회 쇼트쇼츠 국제단편영화제 화제상,2010,제26회 부산 아시아 단편 영화제 관객상,2009,KBS 연기대상 중편드라마부문 여자 우수연기상,2009,KBS 연기대상 베스트커플상,2009,KBS 연기대상 네티즌상,2009,야후! 아시아 버즈 어워드 아시아 여자 아티스트상,2009,제4회 앙드레김 베스트 스타 어워드 여성스타상,2009,SBS 연기대상 뉴스타상,2007,KBS 연기대상 신인연기상,2006
권석
권석장
권성창
권수경
권순욱
권이상
권익준
권재영
권창범
권혁찬
기민수,제26회 한국PD대상 TV드라마부문 작품상,2014
기훈석
김가람
김경용
김경희
김규태,제49회 백상예술대상 TV부문 연출상,2013,제3회 코리아드라마어워즈 연출상,2010,제46회 백상예술대상 TV부문 드라마 작품상,2010,제42회 백상예술대상 TV부문 신인연출상,2006
김근홍
김남원
김달준
김대진
김대현,제42회 한국방송대상 지역오락 TV부문 작품상 (옥이네),2015,제41회 한국방송대상 지역오락 TV부문 작품상 (K-SORI 악동),2014
김도혁
김도형
김도훈
김동일
김동휘
김명욱
김미숙
김민경
김민식,백상예술대상 신인연출상 (뉴논스톱),2002
김병수,제2회 대전드라마페스티벌 연출상,2013
김병욱,제3회 코리아드라마어워즈 심사위원 특별상,2010,MBC 방송연예대상 시트콤부문 특별상,2009,MBC 방송연예대상 특별상,2007,제1회 코리아드라마어워즈 프로듀서상,2007
김사현,백상예술대상 신인연출상,1997
김상래
김상협,MBC 연기대상 시청자가 뽑은 올해의 드라마상 (어쩌다 발견한 하루),2019,제19회 YWCA가 뽑은 좋은 TV프로그램 상 여성부문 (마마),2015
김상호,서울 드라마 어워즈 한류드라마 최우수작품상,2013,MBC 연기대상 올해의 드라마상,2006
김상훈
김상휘
김석윤
김성근
김성덕,MBC 방송연기대상 공로상,2000
김성수
김성욱
김성윤
김성훈,제51회 백상예술대상 영화부문 감독상,2015,제20회 춘사영화상 최우수 감독상,2015,제35회 청룡영화상 각본상,2014,제51회 대종상영화제 감독상,2014
김솔매
김수경
김수룡
김수영,제1회 미장센 단편영화제 장르의 상상력전,2002,제3회 대한민국영상대전 아마추어부문 대상,2002
