title,genre1,genre2,start_date,end_date,day,time,num_eps,channel,next_drama,overview,pd1,pd2,pd3,wr1,wr2,wr3,ac1,ac2,ac3,ac4,first_rate,avg_rate,rate_25,prev,prev_25
이태원 클라쓰,로맨스,,2020-01-31,2020-03-21,"금, 토",오후 10:50,16,jtbc,부부의 세계,"불합리한 세상 속, 고집과 객기로 뭉친 청춘들의 '힙'한 반란이 시작된다. 세계를 압축해 놓은 듯한 이태원. 이 작은 거리, 각자의 가치관으로 자유를 쫓는 그들의 창업 신화 <이태원 클라쓰>",김성윤,강민구,,조광진,,,박서준,김다미,유재명,권나라,,,,,
포레스트,,,2020-01-29,2020-03-19,"수, 목",오후 10:00,32,kbs2,,심장 빼곤 다 가진 남자와 심장 빼곤 다 잃은 여자가 신비로운 숲에서 만나 자신과 숲의 비밀을 파헤쳐 가는 '강제 산골 동거 로맨스',오종록,,,이선영,,,박해진,조보아,정연주,노광식,,,,,
방법,미스터리,스릴러,2020-02-10,2020-03-17,"월, 화",오후 9:30,12,tvn,반의반,"한자 이름, 사진, 소지품으로 죽음에 이르게 하는 저주의 능력을 가지고 있는 10대 소녀와 정의감 넘치는 사회부 기자가 IT 대기업 뒤에 숨어 있는 거대한 악과 맞서 싸우는 이야기",김용완,,,연상호,,,엄지원,정지소,성동일,조민수,,,,,
더 게임:0시를 향하여,미스터리,범죄,2020-01-22,2020-03-12,"수, 목",오후 8:55,32,mbc,그 남자의 기억법,죽음 직전의 순간을 보는 예언가 '태평'과 강력반 형사 '준영'이 20년 전 '0시의 살인마'와 얽힌 비밀을 파헤쳐가는 이야기,장준호,노영섭,,이지효,,,옥택연,이연희,임주환,정동환,,,,,
머니게임,금융,,2020-01-15,2020-03-05,"수, 목",오후 9:30,16,tvn,메모리스트,대한민국의 운명이 걸린 최악의 금융 스캔들 속에서 국가적 비극을 막으려는 이들의 숨 가쁜 사투와 첨예한 신념의 대립을 그린 드라마,김상호,,,이영미,,,고수,이성민,심은경,유태오,,,,,
낭만닥터 김사부 2,의학,휴머니즘,2020-01-06,2020-02-25,"월, 화",오후 9:40,16,sbs,아무도 모른다,지방의 초라한 돌담병원을 배경으로 벌어지는 '진짜 닥터' 이야기,유인식,이길복,,강은경,,,한석규,안효섭,이성경,김주헌,,,,,
터치,,,2020-01-03,2020-02-22,"금, 토",오후 10:50,16,채널a,유별나! 문셰프,빚쟁이 실업자로 전락한 메이크업 아티스트와 아이돌 데뷔에 실패한 연습생이 만나 새로운 꿈을 찾아가는 로맨틱 코미디 & 뷰티 드라마,민연홍,,,안호경,,,주상욱,김보라,이태환,한다감,,,,,
안녕 드라큘라,,,2020-02-17,2020-02-18,"월, 화",오후 9:30,2,jtbc,,인생에서 가장 외면하고 싶은 문제와 맞닥뜨리게 된 사람들의 성장담을 담은 옴니버스 드라마,김다예,,,하정윤,,,서현,이지현,이주빈,오만석,,,,,
나쁜사랑,,,2019-12-02,2020-05-29,월~금,오전 7:50,129,mbc,,"거대한 운명의 소용돌이 한가운데서 사투를 벌이는 여인의 이야기인 동시에, 조건 없는 사랑을 베푸는 모성에 대한 이야기",김미숙,,,홍승희,,,신고은,이선호,오승아,윤종화,,,,,
맛 좀 보실래요,,,2019-11-12,2020-05-01,월~금,오전 8:35,124,sbs,엄마가 바람났다,"우리 집안에도 한두 명 있고, 우리 동네에서도 한두 번 본 적 있는 지극히 현실적인 인물들이 만들어가는 지극히 통속적인 이야기. 내 이야기 같고 내 가족의 이야기 같은 '유쾌 발랄 가족 통속극'",윤류해,,,김도현,,,심이영,서도영,서하준,한가림,,,,,
