title,genre1,genre2,start_date,end_date,day,time,num_eps,channel,next_drama,overview,pd1,pd2,pd3,wr1,wr2,wr3,ac1,ac2,ac3,ac4,first_rate,avg_rate,rate_25,prev,prev_25
은주의 방,,,2018-11-06,2019-01-22,화,오후 11:00,12,olive,,인생이 제멋대로 꼬인 셀프휴직녀 '심은주'가 셀프 인테리어에 눈뜨며 망가진 삶을 회복해가는 인생 DIY 드라마 '집도 인생도 셀프수리 중! 행복 시작!',장정도,소재현,,박상문,김현철,,류혜영,김재영,윤지온,박지현,,,,,
알함브라 궁전의 추억,,,2018-12-01,2019-01-20,"토, 일",오후 9:00,16,tvn,로맨스는 별책부록,투자회사 대표인 남자주인공이 비즈니스로 스페인 그라나다에 갔다가 전직 기타리스트였던 여주인공이 운영하는 싸구려 호스텔에 묵으며 두 사람이 기묘한 사건에 휘말리며 펼쳐지는 이야기,안길호,,,송재정,,,현빈,박신혜,박훈,김용림,,,,,
프리스트,공포,로맨스,2018-11-24,2019-01-20,"토, 일",오후 10:20,16,ocn,트랩,2018년 남부가톨릭병원에서 벌어지는 초현실적 현상들 속에서 소중한 사람들을 지키기 위해 힘을 합친 의사와 엑소시스트의 메디컬 엑소시즘 드라마,김종현,류승진,,문만세,이재하,김수경,연우진,정유미,박용우,이영석,,,,,
차달래 부인의 사랑,코미디,,2018-09-03,2019-01-18,월~금,오전 9:00,100,kbs2,,평균 이상의 행복한 삶을 살고 있다고 자부하던 세 여자가 일시불로 찾아온 중년의 위기를 벗어나기 위한 허벅지를 찌르며 고군분투하는 초특급 환장 로맨스,고영탁,,,최순식,,,하희라,안선영,고은미,김응수,,,,,
붉은 달 푸른 해,스릴러,미스터리,2018-11-21,2019-01-16,"수, 목",오후 10:00,32,mbc,봄이 오나 봄,"의문의 아이, 의문의 사건과 마주한 한 여자가 시(詩)를 단서로 진실을 추적하는 미스터리 스릴러",최정규,강희주,,도현정,,,김선아,이이경,남규리,차학연,,,,,
비밀과 거짓말,,,2018-06-25,2019-01-11,월~금,오후 7:15,122,mbc,용왕님 보우하사,빼앗기고 짓밟혀도 희망을 잃지 않고 묵묵히 자신의 목표를 향해가는 여자와 더 많은 것을 가지기 위해 거짓과 편법의 성을 쌓은 여자의 이야기를 담은 드라마,김정호,김용민,,이도현,,,오승아,서해원,이중문,김경남,,,,,
신의 퀴즈 : 리부트,범죄,미스터리,2018-11-14,2019-01-10,"수, 목",오후 11:00,16,ocn,,4년 만에 복귀한 천재 부검의 한진우 박사가 희귀병 뒤에 감춰진 비밀을 풀고 범죄의 진실을 해부하는 메디컬 범죄수사극,김종혁,,,강은선,김선희,,류덕환,윤주희,박준면,김준한,,,,,
끝까지 사랑,,,2018-07-23,2018-12-31,월~금,오후 7:50,104,kbs2,,"지극히 사랑했지만 어쩔 수 없이 이별한 이들이 일생 하나뿐인 사랑을 지켜내고 끝내 행복을 찾아가는 사랑과 성공스토리를 품은 가족, 멜로 드라마",신창석,,,이선희,,,이영아,홍수아,강은탁,심지호,,,,,
커피야 부탁해,,,2018-12-01,2018-12-30,"토, 일",오후 7:40,12,채널a,,마법의 커피를 마신 뒤 미녀가 되어 짝사랑을 이루려는 평범녀와 사랑 따윈 믿지 않는 훈남 웹툰 작가의 아슬아슬 로맨틱 코미디,박수철,,,서보라,이아연,,용준형,김민영,채서진,이태리,,,,,
열두밤,,,2018-10-12,2018-12-28,금,오후 11:00,12,채널a,,세 번의 여행 동안 열두 번의 밤을 함께 보내는 두 남녀의 여행 로맨스를 그린 드라마,정헌수,,,황숙미,,,한승연,신현수,장현성,유준홍,,,,,
죽어도 좋아,오피스,코미디,2018-11-07,2018-12-27,"수, 목",오후 10:00,32,kbs2,왜그래 풍상씨,안하무인 '백진상' 팀장과 그를 개과천선 시키려는 '이루다' 대리의 대환장 오피스 격전기를 담은 드라마,이은진,최윤석,,임서라,,,강지환,백진희,공명,박솔미,,,,,
계룡선녀전,코미디,판타지,2018-11-05,2018-12-25,"월, 화",오후 9:30,16,tvn,왕이 된 남자,전래동화 '선녀와 나무꾼' 비하인드가 궁금해? 699년 동안 계룡산에서 나무꾼의 환생을 기다리며 바리스타가 된 선녀 선옥남이 '정이현과 김금' 두 남자를 우연히 만나면서 벌어지는 이야기,김윤철,,,유경선,,,문채원,윤현민,서지훈,고두심,,,,,
땐뽀걸즈,청춘,성장,2018-12-03,2018-12-25,"월, 화",오후 10:00,16,kbs2,동네변호사 조들호 2 : 죄와 벌,구조조정이 한창인 쇠락하는 조선업의 도시 거제에서 ‘땐’스 스’뽀’츠를 추는 여상 아이들을 그린 성장드라마,박현석,유영은,,권혜지,,,김갑수,박세완,장동윤,이주영,,,,,
갑툭튀 간호사,,,2018-12-21,2018-12-21,,,2,sbs,,추락한 인생 속에서 진짜 행복을 찾게 된 한 남자와 우연한 사고로 사람들에게 깃들인 죽음을 보는 눈을 갖게 된 한 여자의 우여곡절 판타지 로맨스 드라마,안성곤,,,정려주,,,이성종,장희령,김원식,김서정,,,,,
설렘주의보,,,2018-10-31,2018-12-20,"수, 목",오후 11:00,16,mbn,,독신주의 철벽남인 '스타 닥터'와 '연애 지상주의자'인 톱 여배우가 각자의 말 못 할 속사정으로 가짜 스캔들을 만들어 내면서 벌어지는 예측불허 로맨스 드라마,조창완,,,김신혜,,,천정명,윤은혜,한고은,주우재,,,,,
사의찬미,시대극,멜로,2018-11-27,2018-12-04,"월, 화",오후 10:00,6,sbs,,조선 최초의 소프라노 윤심덕과 그의 애인이자 천재극작가인 김우진의 비극적인 사랑과 함께 알려지지 않은 김우진의 작품세계를 재조명한 드라마,박수진,,,조수진,,,이종석,신혜선,김명수,박선임,,,,,
단짠 오피스,,,2018-09-28,2018-11-30,금,오후 8:50,10,mbc every1,,30대 직장인들의 일과 사랑에 얽힌 직딩 맛집 탐방 드라마,이현주,,,장진아,,,이청아,송원석,송재희,주새벽,,,,,
시간이 멈추는 그때,판타지,로맨스,2018-10-24,2018-11-29,"수, 목",오후 11:00,12,kbs w,,시간을 멈추는 능력자인 준우가 무늬만 갑인 건물주 김선아를 만나 점차 삶의 의미를 찾아가는 판타지 로맨스 드라마,곽봉철,,,지호진,,,김현중,안지현,인교진,주석태,,,,,
배드파파,가족,휴먼,2018-10-01,2018-11-27,"월, 화",오후 10:00,32,mbc,나쁜형사,좋은 아빠가 되기 위해 나쁜 인간이 되는 가장의 이야기를 그린 드라마,진창규,,,김성민,,,장혁,손여은,신은수,하준,,,,,
최고의 이혼,로맨틱 코미디,가족,2018-10-08,2018-11-27,"월, 화",오후 10:00,32,kbs2,땐뽀걸즈,"'결혼은 정말 사랑의 완성일까?'라는 물음에서 시작해, 사랑, 결혼, 가족에 대한 남녀의 생각 차이를 유쾌하고 솔직하게 그리는 러브 코미디",유현기,,,문정민,,,차태현,배두나,이엘,손석구,,,,,
여우각시별,휴먼,멜로,2018-10-01,2018-11-26,"월, 화",오후 10:00,32,sbs,복수가 돌아왔다,비밀을 가진 의문의 신입과 애틋한 사연을 가진 사고뭉치 1년 차가 인천공항 내 사람들과 부딪히면서 서로의 결핍과 상처를 보듬는 휴먼멜로,신우철,,,강은경,,,이제훈,채수빈,이동건,김지수,,,,,
나인룸,,,2018-10-06,2018-11-25,"토, 일",오후 9:00,16,tvn,알함브라 궁전의 추억,"희대의 악녀 사형수 장화사와 운명이 바뀐 안하무인 변호사 을지해이, 그리고 운명의 열쇠를 쥔 남자 기유진의 인생리셋 복수극",지영수,,,정성희,,,김희선,김영광,김해숙,오대환,,,,,
미스 마:복수의 여신,미스터리,추리,2018-10-06,2018-11-24,토,오후 9:05,32,sbs,운명과 분노,딸을 죽였다는 누명을 쓴 여자가 진실을 밝히기 위해 주변 사건들을 해결해가며 그를 둘러싼 비밀을 밝히는 모습을 그린 드라마,민연홍,이정훈,,박진우,,,김윤진,정웅인,고성희,최광제,,,,,
나도 엄마야,,,2018-05-28,2018-11-23,월~금,오전 8:40,124,sbs,강남스캔들,"대리모라는 이유로 모성을 박탈당한 여자가 새롭게 찾아온 사랑 앞에서 온갖 어려움에도 불구하고 사랑을 쟁취하며 가족의 소중함, 따뜻한 세상의 의미를 새겨가는 이야기",배태섭,,,이근영,,,이인혜,우희진,알렉스,박준혁,,,,,
하늘에서 내리는 일억개의 별,,,2018-10-03,2018-11-22,"수, 목",오후 9:30,16,tvn,남자친구,"괴물이라 불린 위험한 남자 무영과 그와 같은 상처를 가진 여자 진강, 그리고 무영에 맞서는 그녀의 오빠 진국에게 찾아온 충격적 운명의 미스터리 멜로",유제원,,,송혜진,,,서인국,정소민,박성웅,서은수,,,,,
뷰티 인사이드,판타지,로맨틱 코미디,2018-10-01,2018-11-20,"월, 화",오후 9:30,16,jtbc,일단 뜨겁게 청소하라,한 달에 일주일 타인의 얼굴로 살아가는 여자와 일 년 열두 달 타인의 얼굴을 알아보지 못하는 남자의 조금은 특별한 로맨스를 그린 드라마,송현욱,남기훈,,임메아리,,,서현진,이민기,이다희,안재현,,,,,
숨바꼭질,미스터리,,2018-08-25,2018-11-17,토,오후 8:45,48,mbc,신과의 약속,"대한민국 유수의 화장품 기업의 상속녀와 그녀의 인생을 대신 살아야만 했던 또 다른 여자에게 주어진 운명, 그리고 이를 둘러싼 욕망과 비밀을 그린 드라마",신용휘,강희주,,설경은,,,이유리,송창의,엄현경,김영민,,,,,
제3의 매력,,,2018-09-28,2018-11-17,"금, 토",오후 11:00,16,jtbc,SKY 캐슬,"특별하지 않지만 내 눈에는 반짝거리는 서로의 '제3의 매력'에 빠진 두 남녀가 스물의 봄, 스물일곱의 여름, 서른둘의 가을과 겨울을 함께 통과하는 연애의 사계절을 그릴 12년의 연애 대서사시",표민수,,,박희권,박은영,,서강준,이솜,양동근,이윤지,,,,,
내 뒤에 테리우스,첩보,액션,2018-09-27,2018-11-15,"수, 목",오후 10:00,32,mbc,붉은 달 푸른 해,사라진 전설의 블랙 요원과 운명처럼 첩보 전쟁에 뛰어든 앞집 여자의 수상쩍은 환상의 첩보 콜라보,박상훈,박상우,,오지영,,,소지섭,정인선,손호준,임세미,,,,,
흉부외과:심장을 훔친 의사들,의학,,2018-09-27,2018-11-15,"수, 목",오후 10:00,32,sbs,황후의 품격,'두 개의 목숨 단 하나의 심장' 의사로서의 사명과 개인으로서의 사연이 충돌하는 딜레마 상황에 놓인 절박한 흉부외과 의사들의 이야기,조영광,,,최수진,최창환,,고수,엄기준,서지혜,정보석,,,,,
플레이어,범죄,액션,2018-09-29,2018-11-11,"토, 일",오후 10:20,14,ocn,프리스트,"사기꾼, 드라이버, 해커, 파이터 등 각 분야 최고의 플레이어들이 뭉쳐 가진 놈들이 불법으로 모은 더러운 돈을 찾아 터는 머니 스틸 액션 드라마",고재현,,,신재형,,,송승헌,정수정,이시언,태원석,,,,,
빅 포레스트,,,2018-09-07,2018-11-09,금,오후 11:00,10,tvn,톱스타 유백이,"'몰락한 연예인' 동엽 & '사채업자' 상훈, 어쩌다 보니 오프로드 인생을 살게 된 두 남자. 그들이 대림동에 살며 겪는 좌충우돌 생존기를 그린 타운 코미디",박수원,,,곽경윤,김현희,배세영,신동엽,정상훈,최희서,전국환,,,,,
내일도 맑음,,,2018-05-07,2018-11-02,월~금,오후 8:25,121,kbs1,비켜라 운명아,흙수저 무스펙 주인공이 그려내는 7전8기 인생 리셋 스토리와 주변 가족들의 살맛나는 이야기를 그린 드라마,어수선,,,김민주,,,설인아,하승리,진주형,이창욱,,,,,
손 the guest,스릴러,공포,2018-09-12,2018-11-01,"수, 목",오후 11:00,16,ocn,신의 퀴즈 : 리부트,"한국 사회 곳곳에서 기이한 힘에 의해 벌어지는 범죄에 맞선 영매와 사제, 형사의 이야기를 그린 드라마",김홍선,,,권소라,서재원,,김동욱,김재욱,정은채,안내상,,,,,
오늘의 탐정,범죄,서스펜스,2018-09-05,2018-10-31,"수, 목",오후 10:00,32,kbs2,죽어도 좋아,귀신 탐정 이다일과 열혈 조수 정여울이 의문의 여인 선우혜와 마주치며 기괴한 사건 속으로 빠져드는 神본격호러스릴러,이재훈,강수연,,한지완,,,최다니엘,박은빈,이지아,김원해,,,,,
백일의 낭군님,미스터리,로맨스,2018-09-10,2018-10-30,"월, 화",오후 9:30,16,tvn,계룡선녀전,완전무결 왕세자에서 졸지에 무쓸모남으로 전락한 원득과 조선 최고령 원녀 홍심의 전대미문 100일 로맨스,이종재,,,노지설,,,도경수,남지현,조성하,조한철,,,,,
마성의 기쁨,,,2018-09-05,2018-10-25,"수, 목",오후 11:00,16,드라맥스,설렘주의보,"'신데렐라 기억장애'를 앓는 남자와 누명을 쓰고 나락으로 떨어진 탑스타의 황당하지만 설레고, 낯설지만 아름다운 사랑 이야기를 그린 드라마",김가람,,,최지연,,,최진혁,송하윤,이호원,이주연,,,,,
복수노트 2,로맨스,하이틴,2018-08-13,2018-10-09,"월, 화",오후 8:00,16,xtvn,,오지랖 넓은 것 빼고는 죄다 평범한 여고생이 미스테리한 복수대행 애플리케이션 '복수노트'를 통해 억울한 일을 해결하며 성장해가는 하이틴 사이다 드라마,오승열,서재주,,한상임,김종선,심미선,안서현,사무엘,지민혁,김지영,,,,,
부잣집 아들,,,2018-03-25,2018-10-07,일,오후 8:45,100,mbc,내 사랑 치유기,거액의 빚을 유산으로 상속받은 후 아버지의 명예를 위해 빚 갚기에 고군분투하는 부잣집 아들 '이광재'와 곁에서 적극적으로 그를 응원하는 씩씩한 여자 '김영하'의 이야기를 그린 드라마,최창욱,심소연,,김정수,,,김지훈,김주현,이규한,홍수현,,,,,
러블리 호러블리,호러,로맨틱 코미디,2018-08-13,2018-10-02,"월, 화",오후 10:00,32,kbs2,최고의 이혼,운명을 공유하는 한 남녀가 톱스타와 드라마 작가로 만나면서 일어나는 기이한 일들을 그린 호러 로맨틱 코미디,강민경,지병현,,박민주,,,박시후,송지효,이기광,함은정,,,,,
미스터 션샤인,시대극,멜로,2018-07-07,2018-09-30,"토, 일",오후 9:00,24,tvn,나인룸,신미양요(1871년) 때 군함에 승선해 미국에 떨어진 한 소년이 미국 군인 신분으로 자신을 버린 조국인 조선으로 돌아와 주둔하며 벌어지는 일을 그린 드라마,이응복,,,김은숙,,,이병헌,김태리,유연석,변요한,,,,,
그녀로 말할 것 같으면,미스터리,멜로,2018-07-14,2018-09-29,토,오후 9:05,40,sbs,미스 마:복수의 여신,"살기 위해 인생을 걸고 페이스오프급 성형수술을 감행했지만, 수술 후유증으로 기억을 잃고 만 한 여자가 조각난 기억의 퍼즐들을 맞추며 펼쳐가는 달콤 살벌한 미스터리 멜로드라마",박경렬,,,박언희,,,남상미,김재원,조현재,이미숙,,,,,
옥란면옥,,,2018-09-26,2018-09-26,"수, 목",오후 10:00,2,kbs2,,70년 동안 평양냉면 외길 인생을 살아온 아흔이 다된 아버지 달재와 냉면에서 벗어나 서울로 뜨고 싶은 마흔이 다된 노총각 아들 봉길의 부자전쟁을 그린 코믹휴먼드라마,김정현,,,조용,,,신구,김강우,이설,인교진,,,,,
시간,범죄,멜로,2018-07-25,2018-09-20,"수, 목",오후 10:00,32,mbc,내 뒤에 테리우스,누구에게나 유한한 시간. 결정적인 매 순간 저마다 다른 선택을 해 지나간 시간 속에서 엮이는 네 남녀의 이야기,장준호,,,최호철,,,김정현,서현,김준한,황승언,,,,,
아는 와이프,,,2018-08-01,2018-09-20,"수, 목",오후 9:30,16,tvn,,한 번의 선택으로 달라진 현재를 살게 된 운명적인 러브스토리를 그린 드라마,이상엽,,,양희승,,,지성,한지민,장승조,강한나,,,,,
친애하는 판사님께,법률,코미디,2018-07-25,2018-09-20,"수, 목",오후 10:00,32,sbs,,"전과 5범 한강호, ‘친애하는 판사님’ 되다! 실종된 형을 대신해 전과 5범 한강호가 판사가 되어 법정에 서게 된다. ‘실전 법률’을 바탕으로 법에 없는 통쾌한 판결을 시작하는 얼렁뚱땅 불량 판사 성장기!",부성철,,,천성일,,,윤시윤,윤시윤,이유영,박병은,,,,,
서른이지만 열일곱입니다,로맨틱 코미디,휴먼,2018-07-23,2018-09-18,"월, 화",오후 10:00,32,sbs,여우각시별,열일곱에 코마에 빠져 서른이 돼 깨어난 '멘탈 피지컬 부조화女'와 세상과 단절하고 살아온 '차단男'. 이들의 서른이지만 열일곱 같은 애틋하면서도 코믹한 로코,조수원,,,조성희,,,신혜선,양세종,안효섭,예지원,,,,,
탁구공,,,2018-09-17,2018-09-18,"월, 화",오후 11:00,2,jtbc,,대학생 청년이 의문의 노숙자를 만나 이루지 못한 지난 사랑에 대한 동질감과 감정의 전이를 경험하는 과정에서 겪는 혼란과 진실에 대한 이야기를 그린 독특한 형식의 버디 드라마,김상호,,,박지원,,,유재명,지수,최광일,이현균,,,,,
사생결단 로맨스,로맨스,,2018-07-23,2018-09-17,"월, 화",오후 10:00,32,mbc,배드파파,호르몬 집착녀 내분비내과 의사가 미스터리 승부욕의 화신 신경외과 의사를 연구대상으로 찜 하면서 벌어지는 호르몬 집중 탐구 로맨스 드라마,이창한,,,김남희,허승민,,지현우,이시영,김진엽,윤주희,,,,,
보이스 시즌2,범죄,액션,2018-08-11,2018-09-16,"토, 일",오후 10:20,12,ocn,플레이어,범죄 현장의 골든타임을 사수하는 112 신고센터 대원들의 치열한 기록을 그린 소리추격 스릴러 드라마,이승영,,,마진원,,,이하나,이진욱,권율,손은서,,,,,
내 아이디는 강남미인,로맨스,,2018-07-27,2018-09-15,"금, 토",오후 11:00,16,jtbc,제3의 매력,"어릴 적부터 '못생김'으로 놀림을 받았고, 그래서 성형수술로 새 삶을 얻을 줄 알았던 여자 '미래'가 대학 입학 후 꿈꿔왔던 것과는 다른 캠퍼스 라이프를 겪게 되면서 진짜 아름다움을 찾아가는 예측불허 내적 성장 드라마",최성범,,,최수영,,,임수향,차은우,조우리,곽동연,,,,,
라이프,의학,,2018-07-23,2018-09-11,"월, 화",오후 11:00,16,jtbc,뷰티 인사이드,"우리 몸 속에서 일어나는 격렬한 항원항체 반응처럼, 지키려는 자와 바꾸려는 자의 신념이 병원 안 여러 군상 속에서 충돌하는 의학드라마",홍종찬,임현욱,,이수연,,,이동욱,조승우,원진아,이규형,,,,,
같이 살래요,가족,로맨스,2018-03-17,2018-09-09,"토, 일",오후 7:55,50,kbs2,하나뿐인 내편,"수제화 장인 효섭네 4남매에게 빌딩주 로또 엄마가 나타났다!! 유쾌한 웃음과 감동으로 신중년 부모세대와 자식 세대의 썸과 쌈, 사랑과 전쟁을 통해 가족의 의미를 그려낸 2060 전 세대 가족 로맨스",윤창범,,,박필주,,,유동근,장미희,한지혜,이상우,,,,,
TV소설 파도야 파도야,소설,,2018-02-12,2018-08-31,월~금,오전 9:00,143,kbs2,차달래 부인의 사랑,전쟁으로 이산가족이 되고 전 재산마저 잃어버린 여자와 그 가족들이 파도처럼 밀려오는 온갖 삶의 고난에 굴하지 않고 꿋꿋하게 살아가며 꿈을 이루고 가족애를 회복해가는 휴먼 성장 패밀리 드라마,이덕건,,,이현재,이향원,,조아영,박정욱,김견우,장재호,,,,,
마녀의 사랑,,,2018-07-25,2018-08-30,"수, 목",오후 11:00,12,mbn,,과학과 경제 논리가 우선하는 현대에서 멸종하지 않고 버티며 사는 마녀들의 이야기를 통해 괴팍스러워져만 가는 인간 세상에 낭만과 로맨스를 되찾아 줄 미스터리 코믹 연애 소란극,박찬율,,,손은혜,,,윤소희,현우,홍빈,김영옥,,,,,
당신의 하우스헬퍼,로맨스,힐링,2018-07-04,2018-08-29,"수, 목",오후 10:00,32,kbs2,오늘의 탐정,완벽한 남자 하우스헬퍼가 머릿속도 집도 엉망이 된 여자들의 살림과 복잡한 인생까지 프로페셔널하게 비워내고 정리해주는 '라이프 힐링' 드라마,전우성,임세준,,황영아,,,하석진,보나,이지훈,고원희,,,,,
식샤를 합시다 3 : 비긴즈,,,2018-07-16,2018-08-28,"월, 화",오후 9:30,14,tvn,백일의 낭군님,식샤님 더 비긴즈! 서른넷. 슬럼프에 빠진 구대영이 식샤님의 시작을 함께했던 이지우와 재회하면서 스무 살 그 시절의 음식과 추억을 공유하며 상처를 극복하는 이야기,최규식,정형건,,임수미,,,윤두준,백진희,이주우,안우연,,,,,
너도 인간이니?,판타지,로맨스,2018-06-04,2018-08-07,"월, 화",오후 10:00,36,kbs2,러블리 호러블리,"""너도 인간이니?""라고 묻고 싶은 세상, 인간보다 더 인간다운 인공지능 로봇 남신Ⅲ와 열혈 경호원 강소봉이 펼치는 대국민 인간사칭 프로젝트",차영훈,윤종호,,조정주,,,서강준,서강준,공승연,이준혁,,,,,
라이프 온 마스,범죄,코미디,2018-06-09,2018-08-05,"토, 일",오후 10:20,16,ocn,보이스 시즌2,"꿈인지 현실인지 알 수 없는 1988년, 기억을 찾으려는 2018년 형사가 1988년 형사와 만나 벌이는 신나는 복고 수사극",이정효,,,이대일,,,정경호,박성웅,고아성,오대환,,,,,
이별이 떠났다,휴머니즘,,2018-05-26,2018-08-04,토,오후 8:45,40,mbc,숨바꼭질,"50대와 20대, 기혼과 미혼 등 너무나도 다른 두 여자의 동거를 통해 남편의 애인과의 갈등, 결혼과 임신으로 '나'를 내려놓게 되는 현실 등을 풀어내는 이야기. 동명 웹소설 원작",김민식,,,소재원,,,채시라,이성재,조보아,이준영,,,,,
김비서가 왜 그럴까,로맨스,,2018-06-06,2018-07-26,"수, 목",오후 9:30,16,tvn,아는 와이프,"재력, 얼굴, 수완까지 모든 것을 다 갖췄지만 자기애로 똘똘 뭉친 나르시시스트 부회장과 그를 완벽하게 보좌해온 비서의 퇴사밀당 로맨스",박준화,,,백선우,최보림,,박서준,박민영,이태환,강기영,,,,,
인형의 집,,,2018-02-26,2018-07-20,월~금,오후 7:50,103,kbs2,끝까지 사랑,"재벌가 집사로 이중생활을 하는 금영숙의 애끓은 모정으로 뒤틀어진 두 여자의 사랑과 우정, 배신을 담은 드라마. 가족과 자신의 꿈을 위해 돌진하는 명품 캔디 퍼스널 쇼퍼 홍세연이 표독함만 남은 쇼핑중독 재벌3세 은경혜와의 악연 속에서 복수를 감행하며 진실을 찾는 이야기",김상휘,,,김예나,,,최명길,박하나,왕빛나,한상진,,,,,
이리와 안아줘,범죄,로맨스,2018-05-16,2018-07-19,"수, 목",오후 10:00,32,mbc,시간,한 살인사건으로 인해 엇갈린 삶을 살게 된 남녀의 기구한 운명을 그린 드라마,최준배,,,이아람,,,장기용,진기주,허준호,윤종훈,,,,,
훈남정음,로맨틱 코미디,,2018-05-23,2018-07-19,"수, 목",오후 10:00,32,sbs,,사랑을 거부하는 비연애주의자 '훈남'과 사랑을 꿈꾸지만 팍팍한 현실에 연애포기자가 된 '정음'이 연애불능 회원들의 솔로 탈출을 도와주다가 사랑에 빠져버린 코믹 로맨스,김유진,,,이재윤,,,남궁민,황정음,최태준,오윤아,,,,,
검법남녀,의학,범죄,2018-05-14,2018-07-17,"월, 화",오후 10:00,32,mbc,사생결단 로맨스,"모든 접촉은 흔적을 남긴다! 범죄에도, 그리고 인생에도. 그리하여 완전 범죄란 없다. 그러나 그들의 공조는 완전하다. 피해자를 부검하는 괴짜 법의학자와 가해자를 수사하는 초짜 검사의 아주 특별한 공조가 펼쳐진다.",노도철,,,민지은,원영실,,정재영,정유미,이이경,박은석,,,,,
기름진 멜로,로맨스,요리,2018-05-07,2018-07-17,"월, 화",오후 10:00,38,sbs,서른이지만 열일곱입니다,달궈진 웍 안의 펄펄 끓는 기름보다 더 뜨거운 세 남녀의 진한 연애담으로 침샘까지 깊이 자극하는 로코믹 주방 활극이다. 경고 '절대 빈속으로 보지 말 것',박선호,함준호,,서숙향,,,준호,장혁,정려원,이미숙,,,,,
투 제니(TO. JENNY),,,2018-07-10,2018-07-17,화,오후 11:10,2,kbs2,,"할 줄 아는 건 노래밖에 없는 모태솔로가 10년 전 짝사랑을 만났다. 눈 한번 마주쳐본 적 없는 그녀의 마음을 얻기 위해, 가슴 절절한 음악을 만들어가는 찌질이의 애틋한 러브스토리",박진우,,,이정화,박예진,한영란,김성철,정채연,최유리,박미선,,,,,
미스 함무라비,법률,,2018-05-21,2018-07-16,"월, 화",오후 11:00,16,jtbc,라이프,"강한 자에게 강하고 약한 자에게 약한 법원을 꿈꾸는 이상주의 열혈 초임 판사, 섣부른 선의보다 원리원칙이 최우선인 초엘리트 판사, 세상의 무게를 아는 현실주의 부장 판사, 달라도 너무 다른 세 명의 재판부가 펼치는 生 리얼 초밀착 법정 드라마",곽정환,,,문유석,,,고아라,김명수,성동일,류덕환,,,,,
스케치,액션,,2018-05-25,2018-07-14,"금, 토",오후 11:00,16,jtbc,내 아이디는 강남미인,정해진 미래를 바꾸기 위해 고군분투하는 이들의 운명을 담은 수사 액션 드라마,임태우,,,강현성,,,정지훈,이동건,이선빈,정진영,,,,,
멈추고 싶은 순간 : 어바웃 타임,로맨스,,2018-05-21,2018-07-10,"월, 화",오후 9:30,16,tvn,식샤를 합시다 3 : 비긴즈,수명 시계를 보는 능력을 지닌 여자 미카와 악연인지 인연인지 모를 운명에 엮인 남자 도하가 만나 사랑만이 구현할 수 있는 마법 같은 순간을 담아낸 운명구원 로맨스,김형식,,,추혜미,,,이상윤,이성경,임세미,김동준,,,,,
시크릿 마더,스릴러,,2018-05-12,2018-07-07,토,오후 8:55,32,sbs,그녀로 말할 것 같으면,"아들 교육에 올인한 강남 열혈맘의 집에 의문의 입시 보모가 들어오면서 벌어지는 워맨스 스릴러로, 적인지 동지인지 모를 두 여인의 시크릿한 우정과 위기가 예측불허하게 펼쳐진다.",박용순,,,황예진,,,송윤아,김소연,김태우,송재림,,,,,
무법 변호사,법정,복수,2018-05-12,2018-07-01,"토, 일",오후 9:00,16,tvn,미스터 션샤인,법 대신 주먹을 쓰던 무법(無法) 변호사가 자신의 인생을 걸고 절대 권력에 맞서 싸우며 진정한 무법(武法) 변호사로 성장해가는 거악소탕 법정활극,김진민,,,윤현호,,,이준기,서예지,이혜영,최민수,,,,,
리치맨,,,2018-05-09,2018-06-28,"수, 목",오후 11:00,16,드라맥스,마녀의 사랑,안면인식장애로 사랑하는 여자의 얼굴을 못 알아보는 안하무인 천재 사업가와 알파고 기억력을 지닌 취준생의 로맨스를 그린 드라마,민두식,,,황조윤,박정예,,김준면,하연수,오창석,김예원,,,,,
슈츠,법률,휴먼,2018-04-25,2018-06-14,"수, 목",오후 10:00,16,kbs2,당신의 하우스헬퍼,대한민국 최고 로펌의 전설적인 변호사와 괴물 같은 기억력을 탑재한 가짜 신입 변호사의 브로맨스를 그린 드라마,김진우,,,김정민,,,장동건,박형식,진희경,채정안,,,,,
미스트리스,미스터리,스릴러,2018-04-28,2018-06-03,"토, 일",오후 10:00,12,ocn,라이프 온 마스,비밀을 가진 네 여자와 그들에 얽힌 남자들의 뒤틀린 관계와 심리적인 불안감을 다룬 미스터리 관능 스릴러 드라마,한지승,,,고정운,김진욱,,한가인,신현빈,최희서,구재이,,,,,
우리가 만난 기적,힐링,판타지,2018-04-02,2018-05-29,"월, 화",오후 10:00,18,kbs2,,대한민국의 평범한 한 가장이 이름과 나이만 같을 뿐 정반대의 삶을 살아온 남자의 인생을 대신 살게 되면서 자신만의 방식으로 주변을 따뜻하게 변화시키는 과정을 담은 판타지 휴먼 멜로 드라마,이형민,조웅,,백미경,,,김명민,김현주,라미란,고창석,,,,,
단짠 오피스,,,2018-05-18,2018-05-25,금,오후 8:50,2,mbc every1,,30대 싱글 여성이 직장에서 겪는 그녀의 일과 사랑에 얽힌 이야기를 음식과 함께 풀어낸 드라마,이현주,,,장진아,,,신소율,송재희,연준석,주새벽,,,,,
