강다영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강윤경,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백미경,MBC 프로덕션 영화 시나리오 공모 우수상,2000,경상북도 영상콘텐츠 시나리오 공모전 장려상,2012,SBS 극본공모전 대상,2013,MBC 극본공모 미니시리즈부문 우수작,2014,대한민국 콘텐츠대상 문화체육관광부장관 표창,2017,,,,,,,,,,,,,,,,,,
백소연,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백운철,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서숙향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
설준석,,,,,,,,,,,,,,,,,,,,,,,,,,,,
손영목,백상예술대상 TV부문 극본상,1997,연기대상 올해의 작가상,2012,,,,,,,,,,,,,,,,,,,,,,,,
손지혜,KBS 드라마 극본 공모 최우수상,2008,,,,,,,,,,,,,,,,,,,,,,,,,,
송지나,백상예술대상 극본상,1995,한국방송대상 작가상,1995,한국방송작가협회 드라마부문 한국방송작가상,1996,대한민국과학문화상,2000,,,,,,,,,,,,,,,,,,,,
신재원,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안형조,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양진아,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여지나,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오상희,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오선형,KBS 미니시리즈극본공모전 우수상,2009,,,,,,,,,,,,,,,,,,,,,,,,,,
오수연,,,,,,,,,,,,,,,,,,,,,,,,,,,,
위기훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유남경,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유미경,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유병우,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유보라,TV 단막극 극본 공모 최우수상,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
유영아,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유현미,KBS 극본공모 최우수상,2001,한국방송작가상 드라마부문,2008,백상예술대상 TV부문 극본상,2009,임종국상 사회부문,2012,대한민국 콘텐츠 대상 방송영상산업발전유공부문 대통령표창,2019,,,,,,,,,,,,,,,,,,
윤경아,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤난중,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤선주,KBS 연기대상 작가상,2006,,,,,,,,,,,,,,,,,,,,,,,,,,
윤수정,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤은경,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤지련,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이강,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이경희,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이명희,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이미림,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이선영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이선희,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이성민,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이숙연,,,,,,,,,,,,,,,,,,,,,,,,,,,,
