가득희
가인,제28회 코리아 베스트 드레서 스완 어워드 가수부문,2013,제2회 가온차트K-POP어워드 올해의 가수상 음원부문 10월,2013,MBC 방송연예대상 베스트 커플상,2010,MBC 방송연예대상 쇼 버라이어티 부문 여자 신인상,2010,Mnet 아시안 뮤직 어워드 베스트 콜라보레이션상,2010
갈소원,MBC 연기대상 아역상,2015,맥스무비 최고의 영화상 최고의 여자신인배우상,2014,제50회 대종상영화제 심사위원특별상,2013,제6회 코리아 드라마 어워즈 아역상,2013,제1회 한국야쿠르트 슈퍼스타 V-KIDS 선발대회 우승,2011
감우성,SBS 연기대상 대상,2018,SBS 연기대상 베스트 커플상,2018,제11회 코리아드라마어워즈 남자최우수상,2018,보건복지부장관 표창,2018,제45회 한국방송대상 연기자상,2018,제27회 청룡영화상 베스트 커플상,2006,제14회 춘사대상영화제 남우주연상,2006,제43회 대종상영화제 남우주연상,2006,제9회 여성관객영화상 그나마 희망적인 영화 속 남성 캐릭터상,2004,제7회 여성관객영화상 최고의 남자배우상,2002,제15회 그리메상 최우수남자연기자상,2002,MBC 연기대상 미니시리즈부문 남자 최우수상,2002,제1회 대한민국 영화대상 신인남우상,2002,MBC 연기대상 남자 인기상,1999,MBC 연기대상 베스트 커플상,1999
강경준,MBC 연기대상 연속극부문 남자 우수연기상,2017,MBC 방송연예대상 코미디 시트콤부문 남자신인상,2004
강경헌,SBS 연예대상 여자 신인상,2018
강기둥
강기영,제8회 대한민국 베스트 스타상 베스트 조연상,2019,제12회 코리아드라마어워즈 남자 우수연기상,2019,MBC 연기대상 수목미니시리즈부문 조연상,2018
강남길,MBC 연기대상 황금연기상 중견배우 부문,2009
강다빈,슈퍼모델 선발대회 투어2000상,2012
강도한
강동호
강민경,제10회 MKMF 여자 신인상,2008
강민아,제14회 대한민국 대학 영화제 연기상,2019
강민혁,SAF 연기대상 로맨틱코미디부문 남자 우수연기상,2016,SBS 연기대상 뉴스타상,2013,제1회 K-드라마 스타 어워즈 라이징스타상,2012
강별,KBS 연기대상 일일극부문 여자 우수 연기상,2015
강부자,MBC 연기대상 황금연기상,2018,제10회 골든티켓어워즈 연극 여자배우상,2015,제8회 골든티켓어워즈 연극 여자배우상,2013,제7회 골든티켓어워즈 연극 여자배우상,2012,MBC 드라마대상 공로상,2011,제5회 골든티켓어워즈 연극 여자배우상,2010,KBS연기대상 공로상,1999,KBS연기대상 대상,1996,제13회 백상예술대상 TV 부문 여자최우수연기상,1977
강서준
강석정
강성민
강성연,SBS 연기대상 연속극 부문 여자 우수연기상,2010,제1회 대한민국 주얼리 어워드 루비상,2008,제27회 청룡영화상 인기상,2006,제43회 대종상영화제 여자인기상,2006,SBS 연기대상 우수연기상,2000,SBS 연기대상 신인상,1999,KBS 연기대상 신인상,1998,MBC 연기대상 포토제닉상,1996
강성진
강성필
강세정,MBC 연기대상 여자 우수상,2009
강소라,MBC 연기대상 미니시리즈부문 여자 우수연기상,2015,한국광고주대회 광고주가 뽑은 좋은 모델상,2015,제7회 코리아 드라마 어워즈 여자 우수상,2014,제9회 아시아모델상시상식 인기스타상,2014,SBS 연기대상 뉴스타상,2013,MBC 방송연예대상 쇼버라이어티부문 인기상,2012,제48회 백상예술대상 영화부문 여자 인기상,2012,제20회 부일영화상 신인 여자 연기상,2011,제5회 Mnet 20's Choice 핫 무비스타상,2011
강수연,자랑스러운 영화인상,2010,SBS 연기대상 대상,2001,백상예술대상 여우주연상,1999,대종상영화제 최고인기배우상,1994,백상예술대상 인기상,1993,황금촬영상 시상식 인기상,1992,춘사영화상 여우주연상,1991,백상예술대상 여우주연상,1991,청룡영화상 여우주연상,1991,대종상영화제 여우주연상,1990,백상예술대상 인기상,1990,모스크바 영화제 여우주연상,1989,대종상영화제 여우주연상,1989,낭트 영화제 여우주연상,1988,대종상영화제 여우주연상,1987,베니스국제영화제 여우주연상,1987,옥관문화훈장,1987,백상예술대상 신인연기상,1983
강신성일,제2회 신필름예술영화제 공로상,2018,한국영화를 빛낸 스타상 공로상,2017,제37회 황금촬영상 공로상,2017,제10회 상록수다문화국제단편영화제 공로상,2016,제33회 한국영화평론가협회상 공로상,2013,제47회 백상예술대상 공로상,2011,제8회 대한민국 영화대상 공로상,2010,제28회 한국예술평론가협의회 특별공로예술가상,2008,제17회 부일영화상 영화발전 공로상,2008,제13회 춘사나운규영화예술제 공로상,2005,제41회 대종상영화제 영화발전공로상,2004,MBC 명예의 전당 영화배우부문,2001,제28회 대종상영화제 남우주연상,1990,제25회 아시아영화제 남우조연상,1980,제10회 대종상영화제 남우주연상,1968
강신일,KBS 연기대상 남자 조연상,2005,동아연극상 최우수연기상,1999,서울국제연극제 연기상,1999,서울연극제 현대연극상 연기상,1995
강연정
강영운
강예빈
강예솔,제76회 전국춘향선발대회 춘향 진,2006
강예원,KBS 연기대상 여자 연작.단막극상,2016,MBC 방송연예대상 버라이어티부문 인기상,2015,제18회 이천춘사대상영화제 신인여우상,2010
강은비,MBC 방송연예대상 코미디시트콤부문 여자신인상,2005,대한민국 얼짱전 대상,2004
강은탁,KBS 연기대상 일일극부문 남자 우수상,2018,MBC 연기대상 연속극부문 남자 신인상,2015
강인,MBC 연기대상 라디오부문 우수상,2008,제4회 SM 베스트짱 선발대회 외모짱 1위,2002
강인덕
강정화
강지섭,SBS 연기대상 뉴스타상,2006
강지영
